25.35786
(0.28, 0.18, 0.13)
(0.19, 0.47, 0.20)
(0.08, 0.71, 0.18)
(-0.04, 0.84, 0.12)
(-0.10, 0.85, 0.05)
(-0.22, 0.82, -0.04)
(-0.28, 0.83, -0.12)
(-0.30, 0.88, -0.17)
(-0.27, 1.00, -0.15)
(-0.20, 1.27, -0.07)
(-0.10, 1.64, 0.05)
(-0.04, 1.94, 0.17)
(0.01, 2.12, 0.29)
(0.15, 2.20, 0.39)
(0.57, 2.28, 0.59)
(1.40, 2.18, 1.24)
(2.64, 1.34, 2.62)
(3.68, -0.18, 4.44)
(4.19, -1.82, 6.10)
(3.89, -3.86, 7.39)
(3.03, -6.11, 8.21)
(1.81, -7.70, 7.88)
(0.45, -8.34, 5.54)
(-0.64, -8.48, 3.62)
(-2.29, -8.19, 0.94)
(-3.41, -7.49, -1.33)
(-4.08, -6.45, -2.82)
(-4.61, -5.39, -3.54)
(-5.03, -4.25, -4.33)
(-5.33, -3.46, -5.01)
(-5.74, -2.56, -5.92)
(-6.04, -1.52, -6.74)
(-5.54, -0.50, -7.39)
(-3.81, 0.21, -8.14)
(-1.99, -0.04, -8.26)
(0.19, -1.19, -7.55)
(1.70, -2.03, -6.31)
(2.76, -1.61, -5.44)
(3.31, -0.73, -5.47)
(4.08, 0.98, -6.04)
(4.90, 2.83, -6.52)
(5.39, 3.23, -6.45)
(5.82, 2.62, -6.12)
(6.02, 1.26, -5.61)
(4.98, -0.22, -5.32)
(3.39, -0.98, -5.02)
25.88026

26.46988
(8.81, 0.89, 4.93)
(9.41, -0.77, 5.03)
(9.85, -2.51, 4.76)
(9.98, -4.32, 4.19)
(9.43, -6.22, 3.59)
(8.29, -7.87, 2.78)
(6.82, -9.14, 1.75)
(5.00, -9.76, 0.31)
(3.90, -9.62, -0.89)
(2.91, -9.57, -2.33)
(2.08, -9.81, -3.40)
26.60769

26.65838
(-0.91, -5.09, -9.20)
(-1.91, -4.06, -9.88)
(-2.98, -3.02, -10.34)
(-3.77, -2.05, -10.62)
(-4.22, -1.07, -10.96)
(-4.23, 0.06, -11.46)
(-2.96, 1.27, -12.05)
(-0.99, 2.18, -11.92)
(0.15, 2.78, -11.11)
(0.77, 3.20, -10.48)
(0.81, 2.17, -10.14)
(1.69, 1.58, -9.52)
(3.07, 1.73, -8.99)
(4.40, 1.64, -8.56)
(4.20, 0.69, -8.19)
(2.69, -0.71, -7.65)
(0.80, -2.12, -6.27)
(-0.29, -2.81, -3.72)
26.87094

27.48111
(8.89, -8.14, 5.00)
(5.64, -10.66, 3.99)
(3.04, -11.28, 1.93)
(1.89, -10.47, -0.12)
