25.35786
(0.19, 0.44, 0.30)
(0.19, 0.44, 0.30)
(0.19, 0.44, 0.31)
(0.19, 0.44, 0.31)
(0.19, 0.44, 0.31)
(0.20, 0.44, 0.31)
(0.20, 0.44, 0.31)
(0.20, 0.44, 0.31)
(0.20, 0.44, 0.31)
(0.20, 0.44, 0.31)
(0.20, 0.44, 0.31)
(0.20, 0.43, 0.32)
(0.20, 0.43, 0.32)
(0.20, 0.43, 0.32)
(0.20, 0.42, 0.32)
(0.20, 0.42, 0.32)
(0.20, 0.41, 0.32)
(0.20, 0.41, 0.31)
(0.19, 0.41, 0.31)
(0.18, 0.40, 0.31)
(0.17, 0.40, 0.31)
(0.16, 0.40, 0.30)
(0.16, 0.40, 0.29)
(0.15, 0.40, 0.28)
(0.15, 0.41, 0.28)
(0.14, 0.42, 0.27)
(0.13, 0.43, 0.27)
(0.13, 0.45, 0.27)
(0.13, 0.46, 0.27)
(0.13, 0.47, 0.27)
(0.13, 0.49, 0.28)
(0.14, 0.51, 0.28)
(0.15, 0.52, 0.29)
(0.16, 0.53, 0.29)
(0.17, 0.54, 0.29)
(0.19, 0.53, 0.29)
(0.21, 0.52, 0.30)
(0.22, 0.51, 0.31)
(0.23, 0.50, 0.33)
(0.23, 0.50, 0.35)
(0.23, 0.48, 0.36)
(0.24, 0.47, 0.37)
(0.24, 0.46, 0.37)
(0.25, 0.45, 0.37)
(0.25, 0.44, 0.36)
(0.25, 0.43, 0.35)
25.88026

26.46988
(0.25, 0.37, 0.34)
(0.24, 0.36, 0.34)
(0.24, 0.35, 0.34)
(0.23, 0.33, 0.33)
(0.22, 0.32, 0.33)
(0.21, 0.30, 0.32)
(0.19, 0.30, 0.32)
(0.17, 0.31, 0.31)
(0.16, 0.31, 0.30)
(0.14, 0.33, 0.29)
(0.12, 0.34, 0.29)
26.60769

26.65838
(0.10, 0.46, 0.27)
(0.11, 0.48, 0.28)
(0.12, 0.50, 0.30)
(0.13, 0.52, 0.31)
(0.14, 0.53, 0.32)
(0.16, 0.55, 0.34)
(0.19, 0.55, 0.34)
(0.22, 0.55, 0.36)
(0.24, 0.54, 0.36)
(0.25, 0.53, 0.37)
(0.27, 0.51, 0.36)
(0.28, 0.49, 0.36)
(0.29, 0.48, 0.37)
(0.30, 0.46, 0.37)
(0.29, 0.45, 0.36)
(0.29, 0.45, 0.35)
(0.28, 0.44, 0.33)
(0.27, 0.44, 0.33)
26.87094

27.48111
(0.24, 0.33, 0.31)
(0.22, 0.33, 0.31)
(0.20, 0.34, 0.31)
(0.19, 0.35, 0.31)
(0.17, 0.36, 0.30)
(0.16, 0.38, 0.30)
(0.15, 0.40, 0.29)
(0.14, 0.42, 0.29)
(0.14, 0.44, 0.29)
(0.14, 0.47, 0.29)
(0.14, 0.49, 0.28)
(0.15, 0.52, 0.28)
(0.16, 0.55, 0.28)
(0.19, 0.57, 0.29)
(0.21, 0.58, 0.29)
(0.24, 0.59, 0.30)
(0.26, 0.59, 0.31)
(0.28, 0.58, 0.32)
(0.30, 0.58, 0.33)
(0.32, 0.57, 0.34)
(0.34, 0.55, 0.35)
(0.35, 0.53, 0.36)
(0.36, 0.50, 0.36)
(0.36, 0.48, 0.35)
(0.35, 0.46, 0.35)
(0.35, 0.45, 0.35)
(0.34, 0.44, 0.34)
27.80748

28.45993
(0.50, 0.36, 0.23)
(0.49, 0.34, 0.23)
(0.46, 0.32, 0.22)
(0.44, 0.32, 0.22)
(0.42, 0.31, 0.22)
(0.38, 0.31, 0.22)
(0.34, 0.31, 0.22)
(0.31, 0.31, 0.22)
(0.27, 0.32, 0.22)
(0.23, 0.33, 0.22)
(0.20, 0.34, 0.21)
(0.19, 0.38, 0.20)
(0.18, 0.40, 0.19)
(0.19, 0.43, 0.19)
(0.21, 0.45, 0.18)
(0.24, 0.47, 0.19)
(0.27, 0.49, 0.20)
(0.29, 0.50, 0.21)
(0.32, 0.51, 0.23)
(0.34, 0.52, 0.26)
(0.38, 0.53, 0.30)
(0.41, 0.55, 0.33)
(0.46, 0.55, 0.35)
(0.51, 0.53, 0.35)
(0.53, 0.50, 0.34)
(0.55, 0.48, 0.33)
(0.56, 0.45, 0.32)
(0.56, 0.43, 0.31)
(0.56, 0.41, 0.31)
(0.55, 0.39, 0.30)
(0.53, 0.38, 0.28)
