25.35786
(0.00, -0.10, 0.02)
(-0.01, -0.11, 0.04)
(-0.02, -0.10, 0.06)
(-0.02, -0.11, 0.07)
(-0.02, -0.11, 0.08)
(-0.01, -0.10, 0.08)
(-0.01, -0.10, 0.09)
(-0.01, -0.10, 0.10)
(-0.01, -0.11, 0.11)
(-0.01, -0.12, 0.13)
(-0.02, -0.15, 0.16)
(-0.02, -0.17, 0.18)
(-0.02, -0.21, 0.19)
(-0.02, -0.24, 0.20)
(-0.04, -0.25, 0.18)
(-0.05, -0.27, 0.13)
(-0.04, -0.25, 0.04)
(-0.02, -0.16, 0.01)
(-0.07, -0.07, 0.06)
(-0.13, 0.00, 0.16)
(-0.24, 0.05, 0.29)
(-0.34, 0.05, 0.30)
(-0.25, 0.02, 0.22)
(-0.22, -0.01, 0.20)
(-0.23, 0.00, 0.18)
(-0.31, 0.05, 0.17)
(-0.40, 0.16, 0.13)
(-0.43, 0.27, 0.13)
(-0.45, 0.41, 0.14)
(-0.44, 0.55, 0.17)
(-0.40, 0.76, 0.22)
(-0.31, 0.95, 0.28)
(-0.21, 1.07, 0.31)
(-0.04, 1.10, 0.30)
(0.13, 1.04, 0.25)
(0.36, 0.85, 0.19)
(0.53, 0.65, 0.22)
(0.58, 0.52, 0.34)
(0.57, 0.48, 0.46)
(0.54, 0.46, 0.69)
(0.54, 0.37, 0.94)
(0.57, 0.28, 1.01)
(0.61, 0.17, 0.97)
(0.66, 0.05, 0.86)
(0.67, -0.05, 0.62)
(0.63, -0.13, 0.42)
25.88026

26.46988
(-0.10, -0.34, 0.37)
(-0.14, -0.39, 0.45)
(-0.16, -0.45, 0.53)
(-0.20, -0.54, 0.58)
(-0.29, -0.60, 0.59)
(-0.39, -0.66, 0.59)
(-0.51, -0.69, 0.58)
(-0.60, -0.60, 0.50)
(-0.70, -0.53, 0.43)
(-0.81, -0.42, 0.37)
(-0.99, -0.33, 0.35)
26.60769

26.65838
(-0.80, 0.89, 0.11)
(-0.74, 1.06, 0.22)
(-0.64, 1.27, 0.37)
(-0.47, 1.42, 0.51)
(-0.29, 1.56, 0.62)
(-0.03, 1.71, 0.73)
(0.31, 1.68, 0.80)
(0.66, 1.53, 0.85)
(0.81, 1.30, 0.89)
(0.94, 1.09, 0.87)
(1.05, 0.82, 0.72)
(1.10, 0.58, 0.65)
(1.13, 0.43, 0.70)
(1.14, 0.29, 0.73)
(1.07, 0.20, 0.57)
(0.97, 0.14, 0.31)
(0.81, 0.05, 0.08)
(0.58, -0.01, -0.03)
26.87094

27.48111
(-0.54, -0.76, 0.70)
(-0.64, -0.67, 0.73)
(-0.76, -0.57, 0.77)
(-0.80, -0.46, 0.69)
(-0.87, -0.35, 0.60)
(-0.99, -0.20, 0.52)
(-1.03, 0.00, 0.41)
(-1.08, 0.16, 0.34)
(-1.05, 0.42, 0.28)
(-1.04, 0.69, 0.24)
(-0.97, 0.93, 0.19)
(-0.80, 1.20, 0.10)
(-0.56, 1.50, 0.05)
(-0.25, 1.72, 0.08)
(0.03, 1.77, 0.16)
(0.33, 1.71, 0.24)
(0.58, 1.60, 0.31)
(0.80, 1.42, 0.40)
(0.97, 1.31, 0.52)
(1.13, 1.14, 0.68)
(1.22, 0.90, 0.80)
(1.27, 0.67, 0.88)
(1.26, 0.41, 0.87)
(1.08, 0.11, 0.77)
(0.90, -0.07, 0.67)
(0.80, -0.16, 0.62)
(0.59, -0.23, 0.53)
27.80748

28.45993
(0.57, -1.06, 0.87)
(0.48, -1.23, 0.82)
(0.17, -1.21, 0.71)
(-0.01, -1.11, 0.74)
(-0.19, -1.07, 0.76)
(-0.46, -1.07, 0.73)
(-0.74, -1.11, 0.72)
(-1.08, -1.09, 0.71)
(-1.44, -0.96, 0.72)
(-1.76, -0.82, 0.71)
(-2.01, -0.58, 0.64)
(-2.03, -0.18, 0.49)
(-1.93, 0.10, 0.38)
(-1.71, 0.36, 0.27)
(-1.34, 0.60, 0.19)
(-0.93, 0.75, 0.18)
(-0.56, 0.84, 0.25)
(-0.31, 0.92, 0.38)
(-0.11, 1.02, 0.58)
(0.11, 1.20, 0.90)
(0.46, 1.45, 1.26)
(0.83, 1.62, 1.47)
(1.57, 1.70, 1.62)
(2.15, 1.47, 1.55)
(2.34, 1.03, 1.27)
(2.29, 0.68, 1.04)
(2.20, 0.37, 0.85)
(2.13, 0.10, 0.70)
(1.99, -0.13, 0.60)
(1.68, -0.27, 0.47)
(1.17, -0.26, 0.27)
(0.67, -0.22, 0.07)
(0.36, -0.25, -0.02)
(0.15, -0.27, -0.03)
(0.03, -0.29, 0.01)
28.85975

29.40666
(0.06, -0.45, 1.00)
(0.09, -0.51, 1.23)
(0.05, -0.74, 1.47)
(-0.06, -0.85, 1.42)
(-0.15, -0.90, 1.39)
(-0.25, -0.71, 1.07)
(-0.35, -0.53, 0.83)
(-0.40, -0.33, 0.64)
(-0.44, -0.18, 0.53)
(-0.50, -0.02, 0.46)
(-0.72, 0.39, 0.37)
(-0.84, 0.60, 0.38)
(-0.97, 0.89, 0.35)
(-1.00, 1.19, 0.24)
(-0.93, 1.43, 0.10)
(-0.75, 1.65, -0.07)
(-0.20, 1.76, -0.31)
(0.08, 1.66, -0.35)
(0.35, 1.45, -0.30)
(0.53, 1.21, -0.19)
(0.68, 0.92, 0.02)
(0.78, 0.80, 0.20)
(0.86, 0.62, 0.41)
(0.95, 0.16, 0.66)
(1.01, 0.02, 0.74)
(1.07, -0.13, 0.84)
(1.19, -0.25, 0.96)
(1.37, -0.37, 1.11)
(1.55, -0.52, 1.19)
(1.70, -0.74, 1.15)
(1.66, -0.86, 0.93)
(1.26, -0.68, 0.11)
(0.98, -0.56, -0.23)
(0.59, -0.36, -0.36)
29.85125

30.32625
(0.04, -0.79, 0.73)
(-0.06, -0.78, 0.78)
(-0.17, -0.76, 0.91)
(-0.25, -0.78, 1.05)
(-0.32, -0.91, 1.13)
(-0.39, -0.96, 1.06)
(-0.46, -0.95, 0.92)
(-0.44, -0.76, 0.70)
(-0.41, -0.67, 0.64)
(-0.37, -0.50, 0.49)
(-0.44, -0.38, 0.43)
(-0.56, -0.29, 0.41)
(-0.66, -0.20, 0.36)
(-0.78, -0.07, 0.29)
(-0.88, 0.12, 0.25)
(-0.97, 0.32, 0.22)
(-0.99, 0.50, 0.19)
(-1.02, 0.70, 0.16)
(-1.01, 0.97, 0.05)
(-0.93, 1.25, -0.10)
(-0.83, 1.43, -0.19)
(-0.52, 1.50, -0.29)
(-0.19, 1.45, -0.34)
(0.01, 1.42, -0.33)
(0.18, 1.34, -0.27)
(0.30, 1.30, -0.22)
(0.42, 1.21, -0.13)
(0.53, 1.09, -0.05)
(0.64, 0.84, 0.04)
(0.69, 0.69, 0.11)
(0.72, 0.49, 0.21)
(0.72, 0.34, 0.33)
(0.70, 0.19, 0.49)
(0.69, 0.13, 0.68)
(0.72, 0.15, 0.91)
(0.83, 0.16, 1.21)
(1.11, 0.05, 1.57)
(1.38, -0.15, 1.72)
(1.62, -0.44, 1.74)
(1.77, -0.73, 1.66)
(1.81, -1.00, 1.48)
(1.60, -1.01, 1.01)
(1.36, -0.87, 0.57)
(1.02, -0.61, 0.09)
(0.55, -0.38, -0.21)
30.84993

31.41803
(-0.07, -0.46, 0.33)
(-0.13, -0.53, 0.52)
(-0.16, -0.60, 0.64)
(-0.17, -0.61, 0.65)
(-0.14, -0.54, 0.54)
(-0.12, -0.51, 0.54)
(-0.18, -0.56, 0.62)
(-0.31, -0.67, 0.71)
(-0.71, -0.79, 0.66)
(-0.87, -0.73, 0.57)
(-1.16, -0.44, 0.41)
(-1.23, -0.25, 0.31)
(-1.22, 0.02, 0.23)
(-1.23, 0.33, 0.16)
(-1.12, 0.64, 0.08)
(-0.95, 0.86, 0.04)
(-0.69, 1.03, 0.04)
(-0.44, 1.13, 0.11)
(-0.15, 1.39, 0.37)
(0.11, 1.56, 0.55)
(0.51, 1.64, 0.74)
(0.93, 1.69, 0.92)
(1.42, 0.75, 0.94)
(1.22, 0.45, 0.98)
(0.81, 0.26, 1.02)
(0.40, 0.09, 0.96)
(0.06, -0.05, 0.80)
(-0.15, -0.18, 0.55)
(-0.17, -0.20, 0.41)
31.80914

32.19415
(-0.53, -0.41, 0.37)
(-0.64, -0.44, 0.37)
(-0.63, -0.41, 0.32)
(-0.64, -0.37, 0.28)
(-0.72, -0.34, 0.27)
(-0.86, -0.28, 0.24)
(-0.97, -0.19, 0.18)
(-1.04, -0.10, 0.11)
(-1.10, 0.03, 0.05)
(-1.13, 0.22, 0.01)
(-1.11, 0.43, -0.02)
(-1.06, 0.64, -0.05)
(-0.95, 0.86, -0.05)
(-0.81, 1.07, -0.01)
(-0.62, 1.23, 0.05)
(-0.40, 1.30, 0.12)
(-0.09, 1.26, 0.18)
(0.24, 1.10, 0.23)
(0.49, 0.99, 0.32)
(0.61, 0.96, 0.51)
(0.56, 0.96, 0.85)
(0.53, 0.86, 1.30)
(0.66, 0.70, 1.56)
(0.85, 0.50, 1.59)
(1.05, 0.30, 1.53)
(1.27, 0.15, 1.52)
(1.50, -0.01, 1.43)
(1.61, -0.31, 1.05)
(1.36, -0.35, 0.77)
(1.08, -0.35, 0.59)
(0.72, -0.33, 0.44)
(0.51, -0.34, 0.39)
(0.27, -0.35, 0.30)
(0.21, -0.30, 0.21)
32.60061

33.1431
(-0.21, -0.49, 0.47)
(-0.21, -0.52, 0.39)
(-0.25, -0.57, 0.37)
(-0.30, -0.59, 0.35)
(-0.36, -0.60, 0.38)
(-0.43, -0.62, 0.42)
(-0.52, -0.67, 0.48)
(-0.72, -0.77, 0.57)
(-0.99, -0.91, 0.65)
(-1.25, -0.99, 0.58)
(-1.37, -0.94, 0.46)
(-1.49, -0.89, 0.32)
(-1.47, -0.78, 0.13)
33.29384

33.38251
(-0.63, 1.01, 0.05)
(-0.57, 1.17, 0.12)
(-0.45, 1.35, 0.18)
(-0.29, 1.49, 0.18)
(-0.07, 1.55, 0.19)
(0.11, 1.53, 0.24)
(0.28, 1.50, 0.29)
(0.41, 1.46, 0.35)
(0.56, 1.40, 0.42)
(0.70, 1.31, 0.48)
(0.81, 1.23, 0.53)
(0.92, 1.06, 0.57)
(1.00, 0.88, 0.59)
(1.07, 0.71, 0.59)
(1.14, 0.59, 0.59)
(1.22, 0.44, 0.61)
(1.27, 0.29, 0.64)
(1.31, 0.14, 0.71)
(1.32, 0.00, 0.78)
(1.31, -0.15, 0.82)
(1.23, -0.29, 0.80)
(1.07, -0.34, 0.67)
(0.97, -0.35, 0.53)
33.65741

36.70578
(0.31, -0.43, 0.43)
(0.29, -0.48, 0.35)
(0.22, -0.48, 0.27)
(0.13, -0.46, 0.20)
(0.05, -0.42, 0.17)
(-0.02, -0.38, 0.19)
(-0.08, -0.37, 0.24)
(-0.12, -0.40, 0.29)
(-0.17, -0.46, 0.33)
(-0.24, -0.51, 0.36)
(-0.32, -0.52, 0.38)
(-0.37, -0.51, 0.42)
(-0.43, -0.49, 0.45)
(-0.50, -0.44, 0.46)
(-0.58, -0.38, 0.42)
(-0.63, -0.30, 0.36)
(-0.66, -0.17, 0.25)
(-0.68, -0.05, 0.15)
(-0.67, 0.12, 0.07)
(-0.70, 0.27, 0.01)
(-0.78, 0.54, 0.02)
(-0.84, 0.72, 0.03)
(-0.87, 0.95, 0.00)
(-0.77, 1.18, -0.09)
(-0.56, 1.32, -0.19)
(-0.38, 1.35, -0.23)
(-0.11, 1.26, -0.23)
(0.08, 1.16, -0.18)
(0.18, 1.07, -0.12)
(0.25, 0.98, -0.03)
(0.30, 0.88, 0.09)
(0.34, 0.75, 0.21)
(0.37, 0.60, 0.32)
(0.40, 0.51, 0.39)
(0.43, 0.38, 0.50)
(0.45, 0.27, 0.64)
(0.52, 0.24, 0.78)
(0.59, 0.23, 0.89)
(0.72, 0.19, 1.03)
(0.87, 0.11, 1.11)
(0.99, 0.01, 1.14)
(1.13, -0.12, 1.14)
(1.25, -0.26, 1.12)
(1.30, -0.40, 1.02)
(1.26, -0.47, 0.84)
(1.05, -0.45, 0.38)
(0.85, -0.40, 0.15)
37.26191

37.71558
(0.10, -0.60, 0.51)
(-0.05, -0.56, 0.58)
(-0.21, -0.57, 0.74)
(-0.34, -0.63, 0.88)
(-0.35, -0.67, 0.92)
(-0.31, -0.69, 0.83)
(-0.26, -0.64, 0.73)
(-0.25, -0.61, 0.59)
(-0.26, -0.55, 0.46)
(-0.31, -0.47, 0.36)
(-0.37, -0.38, 0.27)
(-0.43, -0.32, 0.21)
(-0.51, -0.19, 0.16)
(-0.57, -0.08, 0.11)
(-0.63, 0.04, 0.08)
(-0.68, 0.16, 0.07)
(-0.72, 0.30, 0.05)
(-0.72, 0.45, 0.00)
(-0.71, 0.62, -0.05)
(-0.68, 0.73, -0.09)
(-0.65, 0.85, -0.14)
(-0.59, 0.98, -0.18)
(-0.48, 1.06, -0.22)
(-0.35, 1.11, -0.24)
(-0.20, 1.12, -0.25)
(-0.02, 1.09, -0.23)
(0.13, 1.04, -0.19)
(0.26, 0.96, -0.12)
(0.35, 0.85, -0.04)
(0.40, 0.70, 0.10)
(0.41, 0.60, 0.24)
(0.42, 0.51, 0.41)
(0.45, 0.45, 0.59)
(0.49, 0.39, 0.76)
(0.58, 0.36, 0.92)
(0.68, 0.30, 1.09)
(0.83, 0.23, 1.20)
(1.01, 0.14, 1.24)
(1.22, 0.03, 1.24)
(1.48, -0.14, 1.17)
(1.68, -0.39, 0.97)
(1.75, -0.63, 0.70)
(1.58, -0.72, 0.29)
(1.16, -0.56, -0.01)
38.22996

38.6724
(0.32, -0.30, 0.51)
(0.32, -0.39, 0.67)
(0.23, -0.51, 0.70)
(0.13, -0.52, 0.57)
(0.10, -0.47, 0.51)
(0.07, -0.43, 0.52)
(0.00, -0.36, 0.52)
(-0.11, -0.25, 0.52)
(-0.23, -0.10, 0.52)
(-0.33, 0.05, 0.51)
(-0.44, 0.24, 0.54)
(-0.53, 0.49, 0.53)
(-0.54, 0.74, 0.43)
(-0.52, 0.99, 0.35)
(-0.46, 1.28, 0.28)
