19.03138
(-0.08800, 0.11700, 0.06300, 0.98700)
(-0.10300, 0.10000, 0.09400, 0.98500)
(-0.12200, 0.08100, 0.12200, 0.98100)
(-0.14600, 0.07100, 0.13400, 0.97700)
(-0.17300, 0.08500, 0.11100, 0.97400)
(-0.19600, 0.10800, 0.07200, 0.97100)
(-0.22400, 0.13300, 0.02200, 0.96500)
(-0.25500, 0.14700, -0.01400, 0.95500)
(-0.29800, 0.15200, -0.03300, 0.94100)
(-0.35900, 0.14900, -0.04200, 0.92000)
(-0.43000, 0.13700, -0.05100, 0.89000)
(-0.50100, 0.12100, -0.06600, 0.85400)
(-0.56200, 0.10800, -0.08800, 0.81500)
(-0.62500, 0.09700, -0.11500, 0.76600)
(-0.69400, 0.08600, -0.12900, 0.70300)
(-0.75700, 0.07100, -0.12800, 0.63700)
(-0.81600, 0.05000, -0.11100, 0.56500)
(-0.86300, 0.03000, -0.08700, 0.49700)
(-0.89000, 0.02500, -0.05700, 0.45200)
(-0.89800, 0.04100, -0.03600, 0.43800)
(-0.89700, 0.05900, -0.04000, 0.43600)
(-0.89300, 0.07800, -0.07700, 0.43700)
(-0.89700, 0.07800, -0.12100, 0.41800)
(-0.90100, 0.07000, -0.14800, 0.40300)
(-0.89800, 0.06700, -0.14300, 0.41100)
(-0.89500, 0.07000, -0.12300, 0.42400)
(-0.88600, 0.08100, -0.09500, 0.44600)
(-0.87600, 0.08700, -0.08000, 0.46700)
(-0.85300, 0.08900, -0.08100, 0.50800)
(-0.82400, 0.09000, -0.09100, 0.55200)
(-0.79200, 0.09200, -0.10000, 0.59500)
(-0.75600, 0.09700, -0.09700, 0.64100)
(-0.71900, 0.10300, -0.07800, 0.68300)
(-0.67800, 0.11200, -0.05300, 0.72500)
(-0.63400, 0.11400, -0.03600, 0.76400)
(-0.58200, 0.11200, -0.02700, 0.80400)
(-0.53000, 0.11000, -0.02000, 0.84000)
(-0.47500, 0.11000, -0.00800, 0.87300)
(-0.41000, 0.11600, 0.01800, 0.90400)
(-0.33800, 0.11900, 0.04000, 0.93200)
(-0.27100, 0.11300, 0.05700, 0.95400)
(-0.21000, 0.09800, 0.07900, 0.96900)
(-0.16400, 0.06900, 0.09900, 0.97900)
(-0.13900, 0.05800, 0.10400, 0.98300)
(-0.13000, 0.06500, 0.10700, 0.98300)
(-0.13000, 0.07700, 0.12600, 0.98000)
(-0.13400, 0.08300, 0.14600, 0.97600)
(-0.13400, 0.08900, 0.14900, 0.97500)
(-0.13600, 0.10100, 0.13800, 0.97500)
(-0.15000, 0.12200, 0.10200, 0.97500)
(-0.16500, 0.13700, 0.07100, 0.97400)
(-0.18000, 0.14500, 0.05400, 0.97100)
(-0.19900, 0.14800, 0.04700, 0.96700)
(-0.21100, 0.14800, 0.04500, 0.96500)
(-0.22400, 0.14700, 0.04600, 0.96200)
19.81195

20.50869
(-0.15400, 0.09500, 0.15600, 0.97000)
(-0.16800, 0.09800, 0.15000, 0.96900)
(-0.19000, 0.09500, 0.14100, 0.96600)
(-0.22100, 0.09400, 0.13800, 0.96000)
(-0.26600, 0.09600, 0.13400, 0.94900)
(-0.31600, 0.10100, 0.12600, 0.93400)
(-0.37000, 0.10100, 0.11100, 0.91700)
(-0.42600, 0.09400, 0.09800, 0.89400)
(-0.49500, 0.07900, 0.08600, 0.86000)
(-0.56400, 0.06900, 0.07000, 0.82000)
(-0.63200, 0.06700, 0.05000, 0.77000)
(-0.69600, 0.07000, 0.02600, 0.71500)
(-0.76000, 0.07500, 0.00100, 0.64600)
(-0.81700, 0.07900, -0.01200, 0.57100)
(-0.86400, 0.07800, -0.01900, 0.49700)
(-0.90400, 0.06500, -0.02000, 0.42400)
(-0.93700, 0.04300, -0.01100, 0.34600)
(-0.95900, 0.02800, -0.00900, 0.28200)
(-0.96600, 0.02900, -0.00200, 0.25900)
(-0.95700, 0.06200, 0.01300, 0.28400)
(-0.94200, 0.09600, 0.01000, 0.32200)
(-0.93500, 0.09600, -0.02200, 0.34100)
(-0.93300, 0.07800, -0.05900, 0.34700)
(-0.92900, 0.06900, -0.07200, 0.35700)
