19.03138
(0.15, -0.14, -0.02)
(0.15, -0.03, 0.03)
(0.16, 0.10, 0.08)
(0.16, 0.29, 0.16)
(0.14, 0.54, 0.25)
(0.10, 0.75, 0.31)
(0.06, 1.03, 0.36)
(0.03, 1.31, 0.39)
(0.01, 1.59, 0.39)
(-0.01, 1.88, 0.39)
(-0.01, 2.18, 0.35)
(-0.02, 2.48, 0.26)
(-0.02, 2.72, 0.11)
(-0.02, 2.96, -0.12)
(0.02, 3.15, -0.39)
(0.07, 3.25, -0.59)
(0.14, 3.25, -0.81)
(0.20, 3.14, -1.04)
(0.27, 2.85, -1.21)
(0.32, 2.43, -1.28)
(0.33, 2.08, -1.26)
(0.32, 1.70, -1.19)
(0.30, 1.43, -1.08)
(0.29, 1.16, -0.92)
(0.28, 0.85, -0.64)
(0.27, 0.65, -0.40)
(0.25, 0.44, -0.12)
(0.23, 0.27, 0.11)
(0.19, 0.08, 0.41)
(0.17, -0.08, 0.65)
(0.16, -0.21, 0.85)
(0.14, -0.37, 1.05)
(0.10, -0.59, 1.25)
(0.07, -0.78, 1.39)
(0.05, -0.94, 1.48)
(0.04, -1.17, 1.55)
(0.03, -1.37, 1.58)
(0.02, -1.53, 1.60)
(0.00, -1.74, 1.57)
(-0.02, -1.91, 1.51)
(-0.02, -2.03, 1.41)
(-0.03, -2.12, 1.26)
(-0.01, -2.16, 0.97)
(0.03, -2.12, 0.66)
(0.08, -2.02, 0.36)
(0.11, -1.85, 0.11)
(0.14, -1.64, -0.06)
(0.15, -1.40, -0.18)
(0.15, -1.18, -0.23)
(0.13, -0.89, -0.24)
(0.10, -0.65, -0.23)
(0.08, -0.48, -0.20)
(0.05, -0.27, -0.16)
(0.03, -0.14, -0.13)
(0.02, 0.02, -0.09)
19.81195

20.50869
(0.05, 0.42, 0.32)
(0.03, 0.62, 0.37)
(-0.01, 0.87, 0.40)
(-0.04, 1.07, 0.43)
(-0.08, 1.32, 0.46)
(-0.14, 1.59, 0.47)
(-0.21, 1.84, 0.45)
(-0.27, 2.05, 0.40)
(-0.33, 2.32, 0.29)
(-0.38, 2.54, 0.15)
(-0.41, 2.74, -0.06)
