23.49411
(1.10, -3.51, 8.63)
(0.51, -3.99, 9.33)
(0.22, -4.77, 9.66)
(0.30, -5.66, 9.60)
(0.89, -6.21, 9.34)
(1.89, -6.52, 8.54)
(3.00, -6.46, 7.34)
(3.60, -6.15, 6.45)
(3.68, -5.95, 6.15)
(3.51, -5.55, 6.14)
(3.61, -5.29, 6.10)
(3.75, -4.86, 5.97)
(3.90, -3.97, 5.88)
(4.31, -2.23, 5.91)
(4.43, -0.17, 6.20)
(3.16, 1.45, 6.97)
(2.23, 2.06, 7.61)
(1.28, 2.41, 8.38)
(0.27, 2.20, 9.11)
(-0.95, 1.44, 9.84)
(-1.60, 0.95, 10.08)
(-2.72, 0.65, 9.96)
(-4.07, 1.27, 9.44)
(-5.64, 2.82, 8.36)
(-8.13, 5.49, 5.23)
(-10.10, 7.10, 1.85)
(-14.49, 6.90, -4.94)
(-17.64, 3.15, -7.91)
(-20.88, -3.29, -9.01)
(-21.66, -8.35, -6.89)
(-19.77, -10.56, -4.21)
(-16.75, -10.63, -2.06)
(-12.73, -9.12, -0.05)
(-9.94, -7.54, 1.94)
(-7.45, -6.12, 3.57)
(-5.75, -5.52, 4.17)
(-4.17, -5.24, 4.06)
(-2.18, -5.73, 2.76)
(-1.69, -6.04, 2.42)
(-0.98, -6.45, 2.01)
(-0.32, -6.48, 1.93)
(0.05, -6.20, 2.07)
(0.48, -5.40, 2.28)
(0.71, -4.57, 2.51)
(0.90, -3.58, 2.85)
(0.91, -2.80, 3.24)
(0.80, -2.57, 3.41)
(0.63, -2.47, 3.38)
(0.59, -2.50, 3.16)
(0.70, -2.44, 2.77)
(1.22, -2.36, 2.00)
(1.53, -2.31, 1.40)
24.11143

25.30631
(2.05, -2.11, 5.96)
(2.73, -2.41, 5.58)
(3.68, -2.87, 5.10)
(4.63, -3.30, 4.66)
(5.26, -3.38, 4.39)
(5.53, -3.17, 4.39)
(5.98, -2.60, 5.33)
(5.90, -2.53, 5.59)
(5.47, -2.31, 5.86)
(5.28, -0.11, 5.94)
(5.28, -0.11, 5.94)
(4.83, 1.11, 6.28)
(3.12, 2.70, 7.80)
(-0.11, 0.68, 10.58)
(-0.11, 0.68, 10.58)
(-1.06, -0.72, 10.76)
(-1.62, -1.44, 10.39)
(-2.08, -1.24, 9.54)
(-2.71, 0.04, 8.58)
(-3.85, 1.56, 7.69)
(-4.52, 2.81, 7.00)
(-6.98, 5.77, 4.14)
(-10.15, 5.20, 1.19)
(-12.88, 3.04, -1.41)
(-14.94, -0.02, -3.29)
(-16.09, -3.56, -3.95)
(-15.42, -5.81, -3.08)
(-13.63, -6.57, -1.59)
(-11.01, -6.34, 0.20)
(-8.80, -6.14, 1.29)
(-6.64, -5.96, 1.59)
(-4.96, -6.10, 1.01)
(-3.75, -6.59, 0.19)
(-2.51, -7.43, -0.69)
(-1.37, -8.35, -1.13)
(-0.45, -8.90, -1.06)
(0.55, -9.14, -0.72)
(1.37, -8.55, -0.19)
(1.78, -6.39, 1.03)
(1.64, -5.28, 1.77)
(1.62, -4.85, 2.18)
(1.72, -4.77, 2.36)
(1.89, -4.76, 2.23)
(1.95, -4.45, 1.86)
(1.91, -3.51, 1.10)
(1.66, -2.94, 0.91)
(1.50, -2.24, 0.59)
25.91826

26.61657
(5.27, -3.21, 5.92)
(5.08, -3.16, 6.37)
(4.94, -3.28, 7.28)
(4.86, -3.47, 7.90)
(4.52, -3.49, 8.41)
(4.20, -3.37, 8.55)
(4.41, -3.09, 8.24)
(5.02, -2.64, 7.87)
(5.38, -2.18, 7.80)
(5.14, -1.82, 8.33)
(4.01, -2.00, 9.34)
(2.55, -2.50, 10.21)
(0.99, -3.05, 10.85)
(-0.79, -3.70, 11.50)
(-2.27, -4.27, 11.92)
(-3.26, -4.39, 11.82)
(-4.15, -4.21, 11.17)
(-5.31, -3.39, 10.01)
(-7.01, -0.78, 8.47)
(-8.85, 3.36, 6.20)
(-11.26, 5.76, 2.71)
(-14.90, 5.36, -2.50)
(-18.33, 0.96, -6.53)
(-19.74, -4.23, -7.01)
(-18.91, -8.08, -5.13)
(-15.98, -8.96, -2.02)
(-10.08, -7.79, 4.19)
(-7.46, -6.80, 5.59)
(-5.72, -6.22, 5.07)
(-4.63, -6.25, 3.60)
(-3.90, -6.69, 2.54)
(-2.68, -7.79, 0.86)
(-1.40, -8.62, 0.12)
(-0.16, -8.98, 0.06)
(0.63, -8.89, 0.39)
(1.62, -8.34, 0.84)
(2.44, -7.40, 1.31)
(2.93, -6.41, 1.75)
(3.12, -4.17, 2.38)
(2.70, -3.38, 2.54)
(2.31, -3.08, 2.54)
(2.09, -3.01, 2.36)
(2.09, -3.09, 2.08)
(2.16, -3.21, 1.61)
(2.16, -3.15, 1.12)
(2.08, -2.70, 0.48)
(1.96, -1.99, 0.03)
(1.83, -1.38, -0.10)
(1.62, -0.68, 0.08)
27.20255

28.59304
(2.48, -2.51, 6.75)
(2.42, -2.73, 7.91)
(1.87, -2.89, 8.82)
(1.47, -3.09, 9.26)
(1.62, -3.28, 9.34)
(2.37, -3.34, 9.03)
(3.96, -3.02, 8.51)
(5.73, -2.53, 7.98)
(6.68, -2.07, 7.70)
(6.89, -1.68, 7.63)
(6.34, -1.41, 7.92)
(5.41, -1.27, 8.53)
(5.02, -1.03, 8.84)
(4.21, -0.01, 9.46)
(2.66, 1.46, 10.53)
(0.61, 2.33, 11.87)
(-0.90, 2.27, 12.80)
(-1.76, 1.70, 13.18)
(-2.94, 0.58, 12.75)
(-3.94, 0.18, 11.88)
(-4.97, 0.89, 11.17)
(-6.25, 1.70, 10.56)
(-8.06, 1.93, 9.05)
(-9.49, 1.11, 6.61)
(-10.92, 0.11, 3.75)
(-13.42, -0.85, -0.79)
(-15.30, -3.20, -3.71)
(-16.00, -6.26, -5.10)
(-14.63, -8.33, -4.51)
(-7.79, -7.32, 0.79)
(-5.23, -6.74, 2.45)
(-3.30, -6.53, 2.85)
(-1.81, -6.74, 2.03)
(-0.98, -7.19, 0.90)
(-0.31, -7.89, -0.36)
(0.12, -8.30, -1.06)
(0.44, -8.24, -1.25)
(0.86, -8.01, -1.04)
(1.25, -7.76, -0.60)
(1.75, -7.37, 0.07)
(2.17, -6.93, 0.65)
(2.57, -6.15, 1.13)
(2.67, -5.46, 1.44)
(2.58, -4.88, 1.53)
(2.40, -4.57, 1.31)
(2.19, -4.18, 0.94)
(1.86, -3.47, 0.35)
(1.88, -2.95, 0.09)
29.16616

29.95986
(4.35, -2.90, 4.72)
(4.62, -2.95, 4.66)
(4.95, -3.07, 4.62)
(5.30, -3.26, 4.58)
(5.55, -3.32, 4.58)
(5.58, -3.11, 4.67)
(5.52, -2.77, 4.90)
(5.53, -2.56, 5.09)
(5.57, -2.32, 5.39)
(5.66, -2.10, 5.66)
(5.66, -1.89, 5.90)
