23.49411
(0.34, 1.15, 0.17)
(0.34, 1.13, 0.16)
(0.35, 1.10, 0.14)
(0.35, 1.08, 0.13)
(0.37, 1.05, 0.11)
(0.39, 1.04, 0.10)
(0.42, 1.02, 0.09)
(0.45, 1.01, 0.07)
(0.47, 0.99, 0.06)
(0.51, 0.99, 0.04)
(0.54, 0.98, 0.03)
(0.58, 0.98, 0.03)
(0.62, 0.98, 0.02)
(0.67, 0.98, 0.03)
(0.71, 0.99, 0.03)
(0.76, 1.00, 0.04)
(0.80, 1.00, 0.04)
(0.84, 1.02, 0.04)
(0.89, 1.04, 0.04)
(0.92, 1.07, 0.04)
(0.95, 1.09, 0.04)
(0.97, 1.14, 0.05)
(0.97, 1.18, 0.06)
(0.97, 1.21, 0.07)
(0.95, 1.24, 0.09)
(0.94, 1.27, 0.11)
(0.91, 1.30, 0.15)
(0.90, 1.33, 0.18)
(0.88, 1.37, 0.21)
(0.86, 1.41, 0.23)
(0.84, 1.45, 0.23)
(0.83, 1.48, 0.22)
(0.82, 1.49, 0.21)
(0.81, 1.50, 0.20)
(0.79, 1.50, 0.19)
(0.77, 1.50, 0.18)
(0.74, 1.51, 0.18)
(0.68, 1.51, 0.19)
(0.65, 1.51, 0.19)
(0.62, 1.50, 0.19)
(0.59, 1.49, 0.19)
(0.57, 1.49, 0.19)
(0.55, 1.48, 0.19)
(0.54, 1.47, 0.19)
(0.52, 1.46, 0.19)
(0.49, 1.44, 0.19)
(0.48, 1.43, 0.19)
(0.46, 1.42, 0.18)
(0.46, 1.41, 0.18)
(0.45, 1.40, 0.18)
(0.45, 1.39, 0.18)
(0.45, 1.39, 0.17)
24.11143

25.30631
(0.30, 1.16, 0.16)
(0.31, 1.14, 0.16)
(0.32, 1.11, 0.15)
(0.34, 1.09, 0.15)
(0.36, 1.07, 0.14)
(0.38, 1.05, 0.13)
(0.43, 1.01, 0.10)
(0.46, 0.99, 0.09)
(0.49, 0.98, 0.08)
(0.59, 0.98, 0.04)
(0.60, 0.97, 0.04)
(0.68, 0.95, 0.01)
(0.73, 0.99, 0.00)
(0.86, 1.04, -0.04)
(0.88, 1.03, -0.05)
(0.91, 1.07, -0.06)
(0.93, 1.11, -0.07)
(0.94, 1.15, -0.06)
(0.94, 1.19, -0.06)
(0.94, 1.23, -0.04)
(0.94, 1.26, -0.03)
(0.90, 1.30, 0.00)
(0.88, 1.32, 0.04)
(0.87, 1.34, 0.07)
(0.86, 1.37, 0.11)
(0.84, 1.41, 0.14)
(0.82, 1.45, 0.15)
(0.81, 1.48, 0.15)
(0.79, 1.49, 0.15)
(0.77, 1.51, 0.14)
(0.74, 1.52, 0.14)
(0.71, 1.52, 0.14)
(0.68, 1.53, 0.15)
(0.64, 1.53, 0.16)
(0.61, 1.53, 0.17)
(0.58, 1.53, 0.17)
(0.55, 1.53, 0.18)
(0.53, 1.52, 0.18)
(0.50, 1.51, 0.18)
(0.48, 1.49, 0.18)
(0.47, 1.49, 0.18)
(0.45, 1.48, 0.18)
(0.45, 1.46, 0.18)
(0.45, 1.45, 0.18)
(0.45, 1.43, 0.17)
(0.45, 1.43, 0.17)
(0.46, 1.42, 0.17)
25.91826

26.61657
(0.41, 1.01, 0.12)
(0.43, 0.99, 0.11)
(0.46, 0.98, 0.09)
(0.48, 0.96, 0.07)
(0.51, 0.95, 0.06)
(0.55, 0.94, 0.04)
(0.59, 0.94, 0.02)
(0.64, 0.94, 0.01)
(0.68, 0.94, 0.00)
(0.72, 0.95, -0.01)
(0.77, 0.96, -0.02)
(0.81, 0.98, -0.03)
(0.85, 0.99, -0.04)
(0.90, 1.02, -0.05)
(0.94, 1.05, -0.05)
(0.97, 1.09, -0.04)
(0.99, 1.13, -0.03)
(1.00, 1.17, -0.02)
(0.98, 1.22, 0.01)
(0.95, 1.25, 0.04)
(0.92, 1.28, 0.07)
(0.89, 1.31, 0.11)
(0.87, 1.34, 0.16)
(0.86, 1.38, 0.19)
(0.84, 1.43, 0.20)
(0.83, 1.47, 0.20)
(0.81, 1.51, 0.17)
(0.79, 1.53, 0.15)
(0.75, 1.53, 0.14)
(0.71, 1.53, 0.14)
(0.67, 1.54, 0.15)
(0.63, 1.54, 0.16)
(0.60, 1.53, 0.16)
(0.57, 1.53, 0.16)
(0.55, 1.53, 0.17)
(0.52, 1.52, 0.17)
(0.50, 1.50, 0.16)
(0.49, 1.50, 0.16)
(0.46, 1.47, 0.16)
(0.46, 1.46, 0.16)
(0.45, 1.45, 0.16)
(0.44, 1.44, 0.15)
(0.44, 1.43, 0.15)
(0.44, 1.42, 0.15)
(0.44, 1.41, 0.15)
(0.45, 1.40, 0.14)
(0.46, 1.40, 0.14)
(0.47, 1.39, 0.14)
(0.48, 1.39, 0.14)
27.20255

28.59304
(0.12, 1.15, 0.24)
(0.12, 1.13, 0.23)
(0.13, 1.11, 0.22)
(0.15, 1.08, 0.21)
(0.17, 1.06, 0.20)
(0.20, 1.04, 0.19)
(0.23, 1.02, 0.18)
(0.27, 1.01, 0.17)
(0.31, 0.99, 0.16)
(0.36, 0.98, 0.14)
(0.41, 0.98, 0.12)
(0.46, 0.99, 0.11)
(0.52, 0.98, 0.09)
(0.57, 1.00, 0.08)
(0.62, 1.01, 0.07)
