23.49411
(-0.07700, -0.55200, 0.28200, 0.78100)
(-0.03000, -0.58800, 0.33200, 0.73700)
(0.02000, -0.62500, 0.36500, 0.69000)
(0.07500, -0.66100, 0.38600, 0.63800)
(0.13400, -0.68200, 0.38800, 0.60500)
(0.19200, -0.69800, 0.36400, 0.58500)
(0.23900, -0.70700, 0.32000, 0.58400)
(0.27700, -0.70700, 0.29300, 0.58000)
(0.31200, -0.70700, 0.29500, 0.56100)
(0.34200, -0.69900, 0.31200, 0.54500)
(0.38200, -0.69100, 0.32300, 0.52000)
(0.42000, -0.68000, 0.33000, 0.50200)
(0.45500, -0.65400, 0.33300, 0.50400)
(0.50200, -0.59900, 0.33000, 0.52900)
(0.55100, -0.52200, 0.34000, 0.55500)
(0.56500, -0.44100, 0.39800, 0.57200)
(0.57900, -0.38500, 0.44800, 0.56100)
(0.59800, -0.32100, 0.50600, 0.53100)
(-0.60600, 0.26900, -0.56800, -0.49000)
(0.59400, -0.23000, 0.63300, 0.43700)
(0.59300, -0.18300, 0.68200, 0.38600)
(0.57000, -0.13400, 0.72700, 0.35600)
(0.54300, -0.06600, 0.75400, 0.36000)
(0.51600, 0.03500, 0.75700, 0.39700)
(0.45400, 0.15800, 0.70900, 0.51500)
(0.38300, 0.29000, 0.62900, 0.61000)
(0.18400, 0.46000, 0.42400, 0.75700)
(-0.02000, 0.55100, 0.26900, 0.78900)
(-0.27300, 0.56700, 0.09100, 0.77100)
(-0.46000, 0.52600, -0.01700, 0.71400)
(-0.55600, 0.47900, -0.01100, 0.67800)
(-0.59300, 0.45400, 0.06000, 0.66100)
(-0.57900, 0.43800, 0.23300, 0.64700)
(-0.55800, 0.42200, 0.38500, 0.60100)
(-0.52400, 0.38500, 0.52000, 0.55300)
(-0.50600, 0.34500, 0.58400, 0.53100)
(-0.49800, 0.29700, 0.61200, 0.53700)
(-0.52200, 0.21900, 0.57100, 0.59400)
(-0.54800, 0.19100, 0.54200, 0.60700)
(-0.56900, 0.15100, 0.50000, 0.63500)
(-0.57800, 0.11400, 0.47700, 0.65100)
(-0.58600, 0.08600, 0.47000, 0.65400)
(-0.57300, 0.06400, 0.48700, 0.65500)
(-0.56100, 0.05100, 0.51000, 0.65000)
